Director,Film_Country,Film_Date,Film_Name,Film_Rate,Stars
Gore Verbinski,USA,9 July 2003,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,"Johnny Depp,Geoffrey Rush,Orlando Bloom"
David Yates,USA,15 July 2011,Harry Potter and the Deathly Hallows: Part 2,8.1,"Daniel Radcliffe,Emma Watson,Rupert Grint"
Rajkumar Hirani,Netherlands,19 December 2014,PK,8.1,"Aamir Khan,Anushka Sharma,Sanjay Dutt"
Steven Spielberg,USA,24 May 1989,Indiana Jones and the Last Crusade,8.2,"Harrison Ford,Sean Connery,Alison Doody"
Christopher Nolan,USA,15 June 2005,Batman Begins,8.2,"Christian Bale,Michael Caine,Ken Watanabe"
Martin Scorsese,USA,19 December 1980,Raging Bull,8.2,"Robert De Niro,Cathy Moriarty,Joe Pesci"
John McTiernan,USA,20 July 1988,Die Hard,8.2,"Bruce Willis,Alan Rickman,Bonnie Bedelia"
Stanley Kubrick,Netherlands,3 October 1968,2001: A Space Odyssey,8.3,"Keir Dullea,Gary Lockwood,William Sylvester"
Yavuz Turgul,Turkey,29 November 1996,The Bandit,8.3,"Sener Sen,Ugur Yücel,Sermin Hürmeriç"
Quentin Tarantino,USA,25 December 2012,Django Unchained,8.4,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio"
Ridley Scott,USA,22 June 1979,Alien,8.4,"Sigourney Weaver,Tom Skerritt,John Hurt"
Roman Polanski,USA,28 March 2003,The Pianist,8.5,"Adrien Brody,Thomas Kretschmann,Frank Finlay"
Stanley Kubrick,USA,29 January 1964,Dr. Strangelove,8.4,"Peter Sellers,George C. Scott,Sterling Hayden"
Alfred Hitchcock,USA,September 1954,Rear Window,8.4,"James Stewart,Grace Kelly,Wendell Corey"
Hayao Miyazaki,USA,28 March 2003,Spirited Away,8.6,"Daveigh Chase,Suzanne Pleshette,Miyu Irino"
Olivier Nakache,Netherlands,22 March 2012,The Intouchables,8.5,"François Cluzet,Omar Sy,Anne Le Ny"
Steven Spielberg,USA,24 July 1998,Saving Private Ryan,8.6,"Tom Hanks,Matt Damon,Tom Sizemore"
Charles Chaplin,USA,25 February 1936,Modern Times,8.5,"Charles Chaplin,Paulette Goddard,Henry Bergman"
Jonathan Demme,USA,14 February 1991,The Silence of the Lambs,8.6,"Jodie Foster,Anthony Hopkins,Lawrence A. Bonney"
Charles Chaplin,USA,7 March 1931,City Lights,8.5,"Charles Chaplin,Virginia Cherrill,Florence Lee"
Sergio Leone,USA,4 July 1969,Once Upon a Time in the West,8.5,"Henry Fonda,Charles Bronson,Claudia Cardinale"
Çagan Irmak,Turkey,18 November 2005,My Father and My Son,8.3,"Çetin Tekindor,Fikret Kuskan,Hümeyra"
Steven Spielberg,USA,4 February 1994,Schindler's List,8.9,"Liam Neeson,Ralph Fiennes,Ben Kingsley"
James McTeigue,USA,17 March 2006,V for Vendetta,8.2,"Hugo Weaving,Natalie Portman,Rupert Graves"
Mel Gibson,USA,24 May 1995,Braveheart,8.3,"Mel Gibson,Sophie Marceau,Patrick McGoohan"
Martin Scorsese,USA,9 February 1976,Taxi Driver,8.3,"Robert De Niro,Jodie Foster,Cybill Shepherd"
Steven Spielberg,USA,12 June 1981,Raiders of the Lost Ark,8.4,"Harrison Ford,Karen Allen,Paul Freeman"
Alfred Hitchcock,USA,8 September 1960,Psycho,8.5,"Anthony Perkins,Janet Leigh,Vera Miles"
Frank Capra,USA,7 January 1947,It's a Wonderful Life,8.6,"James Stewart,Donna Reed,Lionel Barrymore"
Roberto Benigni,USA,12 February 1999,Life Is Beautiful,8.6,"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini"
Luc Besson,USA,18 November 1994,Léon: The Professional,8.5,"Jean Reno,Gary Oldman,Natalie Portman"
Tony Kaye,USA,20 November 1998,American History X,8.5,"Edward Norton,Edward Furlong,Beverly D'Angelo"
David Fincher,USA,22 September 1995,Se7en,8.6,"Morgan Freeman,Brad Pitt,Kevin Spacey"
Bryan Singer,USA,16 August 1995,The Usual Suspects,8.5,"Kevin Spacey,Gabriel Byrne,Chazz Palminteri"
Moustapha Akkad,France,8 July 1977,The Message,8.2,"Anthony Quinn,Irene Papas,Michael Ansara"
Akira Kurosawa,USA,19 November 1956,Seven Samurai,8.6,"Toshirô Mifune,Takashi Shimura,Keiko Tsushima"
Lana Wachowski,USA,31 March 1999,The Matrix,8.7,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss"
Martin Scorsese,USA,21 September 1990,Goodfellas,8.7,"Robert De Niro,Ray Liotta,Joe Pesci"
Milos Forman,USA,19 November 1975,One Flew Over the Cuckoo's Nest,8.7,"Jack Nicholson,Louise Fletcher,Will Sampson"
George Lucas,USA,25 May 1977,Star Wars: Episode IV - A New Hope,8.6,"Mark Hamill,Harrison Ford,Carrie Fisher"
Irvin Kershner,USA,20 June 1980,Star Wars: Episode V - The Empire Strikes Back,8.7,"Mark Hamill,Harrison Ford,Carrie Fisher"
Brian De Palma,USA,9 December 1983,Scarface,8.3,"Al Pacino,Michelle Pfeiffer,Steven Bauer"
Isao Takahata,USA,26 July 1989,Grave of the Fireflies,8.5,"Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi"
James Cameron,USA,3 July 1991,Terminator 2: Judgment Day,8.5,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong"
Robert Zemeckis,USA,3 July 1985,Back to the Future,8.5,"Michael J. Fox,Christopher Lloyd,Lea Thompson"
Ridley Scott,USA,5 May 2000,Gladiator,8.5,"Russell Crowe,Joaquin Phoenix,Connie Nielsen"
Frank Darabont,USA,10 December 1999,The Green Mile,8.6,"Tom Hanks,Michael Clarke Duncan,David Morse"
Martin Scorsese,USA,6 October 2006,The Departed,8.5,"Leonardo DiCaprio,Matt Damon,Jack Nicholson"
Christopher Nolan,USA,25 May 2001,Memento,8.4,"Guy Pearce,Carrie-Anne Moss,Joe Pantoliano"
Christopher Nolan,USA,20 October 2006,The Prestige,8.5,"Christian Bale,Hugh Jackman,Scarlett Johansson"
Christopher Nolan,USA,20 July 2012,The Dark Knight Rises,8.4,"Christian Bale,Tom Hardy,Anne Hathaway"
Peter Jackson,USA,18 December 2002,The Lord of the Rings: The Two Towers,8.7,"Elijah Wood,Ian McKellen,Viggo Mortensen"
Christopher Nolan,USA,7 November 2014,Interstellar,8.6,"Matthew McConaughey,Anne Hathaway,Jessica Chastain"
Robert Zemeckis,USA,6 July 1994,Forrest Gump,8.8,"Tom Hanks,Robin Wright,Gary Sinise"
Christopher Nolan,USA,16 July 2010,Inception,8.8,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page"
Peter Jackson,USA,19 December 2001,The Lord of the Rings: The Fellowship of the Ring,8.8,"Elijah Wood,Ian McKellen,Orlando Bloom"
Sidney Lumet,USA,10 April 1957,12 Angry Men,8.9,"Henry Fonda,Lee J. Cobb,Martin Balsam"
Sergio Leone,USA,29 December 1967,"The Good, the Bad and the Ugly",8.8,"Clint Eastwood,Eli Wallach,Lee Van Cleef"
Quentin Tarantino,USA,14 October 1994,Pulp Fiction,8.9,"John Travolta,Uma Thurman,Samuel L. Jackson"
David Fincher,USA,15 October 1999,Fight Club,8.8,"Brad Pitt,Edward Norton,Meat Loaf"
Francis Ford Coppola,USA,18 December 1974,The Godfather: Part II,9.0,"Al Pacino,Robert De Niro,Robert Duvall"
